tweet_id,tweets
1.68372191871996E+018,@celtiisbj @emmanuel_z9 My name is AJIBOLA SESAN KUNLE destinytransportltd@gmail.com please I want to open business� https://t.co/tz37beBL4i
1.68371472034654E+018,@Flipkart @flipkartsupport Hi Team my number was 9643698505 from which my Flipkart account was signed in but due to� https://t.co/Hpvdl8q302
1.68370999087016E+018,@HELBpage hello helb. I was requesting for a phone number update.$$$Change from this number 254758758153 to this one� https://t.co/ZTbn0bJXRj
1.68370904311254E+018,"@HEBobiwine Hey ??? good morning, can we have a private talk,if ya my phone number is:+256754312189"
1.68369240715679E+018,@SonuSood I am very poor sir my number is 6361321059 my phone pay yahi hai sir plz help me sir and Bihar se hua sir plz help me sir
1.68367538114725E+018,@Uber_Support My phone number is 9809055555 pls contact
1.68366207406769E+018,"Sir, we didn't have power for last half an hour and my USC number is 102756654. My phone number is 9290448153 @TsspdclCorporat"
1.68365708085783E+018,"@Airtel_Presence On 25th july , 2023, I recharged of 479 rupees on 9875755122 instead of 9828920775. My transaction� https://t.co/XpgGcavxAJ"
1.6836568129341E+018,"@airtelindia On 25th july , 2023, I recharged of 479 rupees on 9875755122 instead of 9828920775. My transaction ID� https://t.co/iAnOhCzpWp"
1.68356630780615E+018,@smstelegram$$$I'm trying to use my mobile phone number: 959944141346$$$But Telegram says it's banned. Please help.$$$Thi� https://t.co/EeGnDgU5Iw
1.68356609158982E+018,@smstelegram $$$$$$I'm trying to use my mobile phone number: 959944141346$$$But Telegram says it's banned. Please help.$$$T� https://t.co/OrH3tRmkPO
1.68356597956832E+018,@telegram $$$$$$I'm trying to use my mobile phone number: 959944141346$$$But Telegram says it's banned. Please help.$$$This� https://t.co/gbNclRBOfh
1.683564185891E+018,@telegram  $$$$$$I'm trying to use my mobile phone number: 959944141346$$$But Telegram says it's banned. Please help.$$$Thi� https://t.co/1yVbLQDsGR
1.68356410926945E+018,@smstelegram $$$$$$I'm trying to use my mobile phone number: 959944141346$$$But Telegram says it's banned. Please help.$$$T� https://t.co/jykdGxbJJx
1.6835628698526E+018,@telegram $$$$$$I'm trying to use my mobile phone number: 959944141346$$$But Telegram says it's banned. Please help.$$$$$$Thi� https://t.co/4WoJHT1pJE
1.68353181630374E+018,@ccc_jdvvnl Hello my phone number is 9145738205
1.68353166058165E+018,Pls my phone number +91 9999995123 has been banned from using WhatsApp .. I really don�t know and no one is telling� https://t.co/88SgWSkUnZ
1.68352045796072E+018,"Hello Airtel Cares. My phone number is +91 8554949636. I currently live in the United States of America (USA), and� https://t.co/wkGCmSKXKU"
1.68351543473626E+018,Syed Obaid Ahmed $$$India airtel number is 7097977814$$$My UK phone number is 07879948547.$$$Airtel Customer care $$$Intern� https://t.co/zq3Kd5Bfx8
1.68350850251645E+018,@telegram $$$I'm trying to use my mobile phone number: 7991704044$$$But Telegram says it's banned. Please help me unban� https://t.co/6UrBNRZBbi
1.68350751794122E+018,@Paytmcare I lost my phone please temporarily block my Paytm account. My Paytm number is 7217239337
1.68349900757704E+018,@winzoofficial  my winzo account phone number is 8419945092. Why daily puzzle is not showing in my winzo account?
1.68347813141858E+018,@AmazonHelp 9873581298 is my phone number and same is my registered number with Amazon account why don�t you contac� https://t.co/POnLa8Lz8A
1.68347785041687E+018,@smstelegram I'm trying to use my mobile phone number: 917392029462$$$But Telegram says it's banned. Please help.$$$$$$Th� https://t.co/HXW7WotPXE
1.68346628282451E+018,@AmazonHelp Why you are not able to connect with me 9873581298 is my registered phone number with Amazon just call me
1.6834465931887E+018,RT @SanjayP74848092: @TsspdclCorporat   Hello there is electricity has been cut off since 1hr usc:no: 1004272238 my phone number is 8897751�
1.68344620234248E+018,@TsspdclCorporat   Hello there is electricity has been cut off since 1hr usc:no: 1004272238 my phone number is 8897751857
